movie_title,director_name,actor_1_name,actor_2_name,title_year,duration
Leatherheads ,George Clooney,Robert Baker,Malcolm Goodwin,2008.0,114.0
Prince of Persia: The Sands of Time ,Mike Newell,Jake Gyllenhaal,Richard Coyle,2010.0,116.0
Blended ,Frank Coraci,Bella Thorne,Adam Sandler,2014.0,117.0
The Front Page ,Billy Wilder,Austin Pendleton,Harold Gould,1974.0,105.0
Peaceful Warrior ,Victor Salva,Scott Mechlowicz,Tim DeKay,2006.0,120.0
Bandits ,Barry Levinson,Bruce Willis,Brían F. O'Byrne,2001.0,123.0
The Karate Kid ,John G. Avildsen,Martin Kove,William Zabka,1984.0,126.0
McFarland USA,Niki Caro,Morgan Saylor,Valente Rodriguez,2015.0,129.0
Philomena ,Stephen Frears,Steve Coogan,Mare Winningham,2013.0,98.0
Boyhood ,Richard Linklater,Ellar Coltrane,Lorelei Linklater,2014.0,165.0
Lucy ,Luc Besson,Scarlett Johansson,Morgan Freeman,2014.0,89.0
Hardflip ,Johnny Remo,Matthew Ziff,Randy Wayne,2012.0,112.0
Daddy's Home ,Sean Anders,Will Ferrell,Linda Cardellini,2015.0,96.0
In Her Line of Fire ,Brian Trenchard-Smith,David Keith,Mariel Hemingway,2006.0,88.0
Volver ,Pedro Almodóvar,Carmen Maura,Lola Dueñas,2006.0,121.0
Anastasia ,Don Bluth,Kirsten Dunst,Kelsey Grammer,1997.0,94.0
A View to a Kill ,John Glen,Patrick Macnee,Alison Doody,1985.0,131.0
Dry Spell ,Travis Legge,Kristen Seavey,Suzi Lorraine,2013.0,90.0
Jack Reacher ,Christopher McQuarrie,Tom Cruise,Robert Duvall,2012.0,130.0
Hugo ,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,2011.0,126.0
Vessel ,Clark Baker,Taylor Pigeon,Alan Pietruszewski,2012.0,14.0
Playing for Keeps ,Gabriele Muccino,Gerard Butler,Dennis Quaid,2012.0,105.0
The One ,James Wong,Jason Statham,Jet Li,2001.0,85.0
Mystic Pizza ,Donald Petrie,Julia Roberts,Lili Taylor,1988.0,104.0
AVP: Alien vs. Predator ,Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,2004.0,109.0
Valley of the Heart's Delight ,Tim Boxell,Bruce McGill,Diana Scarwid,2006.0,100.0
The Past is a Grotesque Animal ,Jason Miller,Jon Brion,Dottie Alexander,2014.0,77.0
Outside Providence ,Michael Corrente,Jonathan Brandis,George Wendt,1999.0,96.0
The Heart of Me ,Thaddeus O'Sullivan,Olivia Williams,Luke Newberry,2002.0,96.0
Forrest Gump ,Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,1994.0,142.0
Goal! The Dream Begins ,Danny Cannon,Sean Pertwee,Kuno Becker,2005.0,118.0
The Aviator ,Martin Scorsese,Leonardo DiCaprio,Adam Scott,2004.0,170.0
The Queen ,Stephen Frears,Roger Allam,Sylvia Syms,2006.0,94.0
Born to Fly: Elizabeth Streb vs. Gravity ,Catherine Gund,Elizabeth Streb,Sarah Callan,2014.0,82.0
Good Kill ,Andrew Niccol,Bruce Greenwood,Zoë Kravitz,2014.0,102.0
Romeo Is Bleeding ,Peter Medak,Gary Oldman,Michael Wincott,1993.0,100.0
The Cell ,Tarsem Singh,Dylan Baker,Jake Weber,2000.0,109.0
Death Race 2000 ,Paul Bartel,Sylvester Stallone,David Carradine,1975.0,80.0
The Three Musketeers ,Paul W.S. Anderson,Milla Jovovich,Logan Lerman,2011.0,110.0
Resident Evil: Afterlife ,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,2010.0,97.0
Welcome to Collinwood ,Anthony Russo,Michael Jeter,Isaiah Washington,2002.0,86.0
Strangerland ,Kim Farrant,Nicholas Hamilton,Reef Ireland,2015.0,112.0
Lady in White ,Frank LaLoggia,Alex Rocco,Lukas Haas,1988.0,118.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,Michael Pressman,Kevin Nash,Paige Turco,1991.0,88.0
Oz the Great and Powerful ,Sam Raimi,Tim Holmes,Mila Kunis,2013.0,130.0
How to Be Single ,Christian Ditter,Alison Brie,Damon Wayans Jr.,2016.0,110.0
The Birth of a Nation ,Nate Parker,Jason Stuart,Nate Parker,2016.0,120.0
Red Eye ,Wes Craven,Robert Pine,Carl Gilliard,2005.0,85.0
Peace Propaganda & the Promised Land,Sut Jhally,Noam Chomsky,Seth Ackerman,2004.0,80.0
The Crying Game ,Neil Jordan,Jim Broadbent,Miranda Richardson,1992.0,112.0
The Golden Child ,Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,1986.0,94.0
The Huntsman: Winter's War ,Cedric Nicolas-Troyan,Chris Hemsworth,Sam Claflin,2016.0,120.0
Edward Scissorhands ,Tim Burton,Johnny Depp,Dianne Wiest,1990.0,105.0
Kiss Kiss Bang Bang ,Shane Black,Robert Downey Jr.,Corbin Bernsen,2005.0,103.0
